"visitor_id","visit_date","utm_source","utm_medium","utm_campaign","lead_id","created_at","amount","closing_reason","status_id"
"2fcc1e9d4dc6a8d416341423b44f43e2b706e978",2023-06-01 01:45:00.000,vk,cpc,prof-java,"10051653",2023-06-08 11:17:12.000,0,Не реализовано,143
ab1b794c9d216f7e7071429264e8d74f4eb89297,2023-06-01 15:02:00.000,yandex,cpc,prof-frontend,"10108442",2023-06-19 09:25:23.000,0,Не реализовано,143
"6d0a2c53bbdcf299af6455afd00eb5a9cba2c5da",2023-06-01 02:29:00.000,vk,cpc,base-python,"10165231",2023-06-03 17:35:28.000,0,Не реализовано,143
"934fd8852a77927af839b09819c6f8e49f5ca0f2",2023-06-01 11:50:00.000,yandex,cpc,base-frontend,"10335598",2023-06-14 15:43:14.000,0,Не реализовано,143
"9d8304b2b31e1a3fd79b07d358134ab0a4cd038b",2023-06-01 01:09:00.000,vk,cpc,prof-java,"10505965",2023-06-20 23:18:42.000,0,Не реализовано,143
"5cf7cf900ec109a6be2042afd6ec7885f87c6e55",2023-06-01 15:10:00.000,yandex,cpc,base-python,"10562754",2023-06-15 12:19:57.000,0,Не реализовано,143
d3d73b170071498a2a8be9b980af825fa5795f37,2023-06-01 18:28:00.000,yandex,cpc,base-frontend,"10619543",2023-06-14 14:12:21.000,0,Не реализовано,143
cfd5ef444b2da479f2fb7118e7d79d5d88221d48,2023-06-01 17:47:00.000,yandex,cpc,prof-frontend,"10789910",2023-06-27 17:36:35.000,113526,Успешная продажа,142
"41a36cdb1abead0e6c762ab26a7619b69fe2b27b",2023-06-01 02:30:00.000,vk,cpc,freemium-python,"10960277",2023-06-08 11:48:54.000,0,Не реализовано,143
fa09785cbecbfffb4a9bb45d06bfcad5cac13292,2023-06-01 06:22:00.000,vk,cpc,prof-python,"11017066",2023-06-21 17:37:14.000,0,Не реализовано,143
